Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Library-HIVIND96Logic.json	1077	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	262	26	0	0	0	0	12	0	0
fsh-generated/resources/Library-HIVIND9Logic.json	1121	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	82	16	0	0	0	0	3	0	0
fsh-generated/resources/Library-HIVIndicatorElements.json	1090	3	0	0	0	0	0	0	11	98	0	0	0	0	0	0	0	1	0	0	18261	1268	0	0	0	0	868	0	1
fsh-generated/resources/Library-WHOCommon.json	1024	4	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1155	78	0	0	0	0	63	0	0
fsh-generated/resources/Library-WHOConcepts.json	1036	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	51	14	0	0	0	0	2	0	0
fsh-generated/resources/Library-WHOElements.json	1036	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	66	14	0	0	0	0	2	0	0
fsh-generated/resources/Library-WHOEncounterElements.json	1090	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	67	14	0	0	0	0	3	0	0
fsh-generated/resources/Measure-HIVIND11.json	2878	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	0	1	0	0
fsh-generated/resources/Measure-HIVIND12.json	3052	3	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	32	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND13.json	2958	3	0	0	1	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND14.json	3091	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND15.json	3555	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND16.json	3082	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	1	0	0
fsh-generated/resources/Measure-HIVIND18.json	3536	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND19.json	3115	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND2.json	3501	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND20.json	3006	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	20	21	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND21.json	2956	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND22.json	3542	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	1	0	0
fsh-generated/resources/Measure-HIVIND24.json	3366	2	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND25.json	3351	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND27.json	3539	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND28.json	3405	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND29.json	3439	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND3.json	3594	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND30.json	3479	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	1	0	0
fsh-generated/resources/Measure-HIVIND31.json	3059	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0	0
fsh-generated/resources/Measure-HIVIND32.json	3019	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	11	0	0	0	0	0	0	0
